I-ONE Agent,AI 员工
Send Email Alert,发送电子邮件警报
Send Email On State,在状态时发送电子邮件
Send Email Print Attachments as PDF (Recommended),将电子邮件打印附件作为 PDF 发送（推荐）
Send Email To Creator,发送给创建者
Send Email to {0},发送给 {0}
Send email when document transitions to the state.,当文档状态转换时发送邮件
Send enquiries to this email address,将咨询发送至此邮箱
Send Finding for Rectification,发送整改发现
Send Invitation Email,发送邀请电子邮件
Send Invite,发送邀请
Send login link,发送登录链接
Send Mail,发送邮件
Send me a copy,发送副本给我
Send Me A Copy of Outgoing Emails,发送我的外发邮件副本
Send Notification for Published Batches,为已发布的批次发送通知
Send Notification for Published Courses,为已发布的课程发送通知
Send Notification to,发送给
Send Notifications For Documents Followed By Me,为我关注的文档发送通知
Send Notifications For Email Threads,为电子邮件线程发送通知
Send Now,立即发送
Send only if there is any data,仅在有数据时发送
Send Payment Reminders for Batch,为批次发送付款提醒
Send Payment Reminders for Course,为课程发送付款提醒
Send people straight to the hosted form.,直接将用户引导至托管表单
Send Print as PDF,作为 PDF 发送打印
Send Proforma Invoice,发送形式发票
Send Read Receipt,发送已读回执
Send Rejected Appeal for Rectification,发送被拒绝的整改申诉
Send Reset Link,发送重置链接
Send Scheduling Messages,发送调度消息
Send System Notification,发送系统通知
Send To All Assignees,发送给所有指派人
Send unsubscribe message in email,在邮件中包含退订信息
Send Verification Email,发送验证电子邮件
Send visitors here after they submit. Leave blank to show the success message.,用户提交后跳转至此页面。留空则显示成功消息
Send Welcome Email,发送欢迎电子邮件
Sender,发件人
Sender blocked.,发件人已被屏蔽
Sender Email,发件人邮箱
Sender Email Field,发件人邮箱字段
Sender Field should have Email in options,发件人字段的选项应包含邮箱
Sender Name,发件人名称
Sender Name Field,发件人名称字段
Sender screened.,发件人已被筛查
Sender unblocked.,发件人已解除屏蔽
Senders blocked.,发件人已被屏蔽
Senders removed.,发件人已被移除
Senders unblocked.,发件人已解除屏蔽
Sending,发送中
Sending Alert...,发送警报...
Sending Record,发送记录
sends them to Junk.,将其发送到垃圾邮件。
Sensitive,敏感
Sensitive Medical,敏感医疗
sent,已发送
Sent,已发送
Sent At,发送时间
Sent Folder Name,已发送文件夹名称
Sent On,发送于
Sent or Received,发送或接收
Sent Read Receipt,已发送已读回执
Sent To,发送至
Sent/Received Email,发送/接收的邮件
Sequence,序列
Sequence Id,序列 ID
Sequence Number,序列号
Serial / Batch Entries,序列/批次条目
Serial No {0} already added,序列号 {0} 已添加
Series counter for {} updated to {} successfully,系列计数器 {} 已成功更新为 {}
Series Key,系列键
Series List for this Transaction,此交易的系列列表
Series Revision Key,系列修订键
Series Updated for {},系列已更新为 {}
Series {0} already used in {1},系列 {0} 已在 {1} 中使用
Server,服务器
Server Action,服务器操作
Server Ansible Play,服务器 Ansible 剧本
Server Ansible Play Task,服务器 Ansible 剧本任务
Server Ansible Play Variable,服务器 Ansible 剧本变量
Server Deployment,服务器部署
Server Deployment Service,服务器部署服务
Server Deployment Timeout,服务器部署超时
Server Error,服务器错误
Server error during upload. The file might be corrupted.,上传期间服务器错误。文件可能已损坏
Server failed to process this request because of a concurrent conflicting request. Please try again.,由于并发冲突请求，服务器无法处理此请求。请重试
Server IP,服务器 IP
Server Job,服务器作业
Server Job Command,服务器作业命令
Server Job Timeout,服务器作业超时
Server Record,服务器记录
Server Response,服务器响应
Server Script,服务器脚本
Server Scripts are disabled. Please enable server scripts from bench configuration.,服务器脚本已禁用。请从 bench 配置中启用服务器脚本
Server Scripts feature is not available on this site.,此站点不可用服务器脚本功能
Server URL,服务器 URL
Server was too busy to process this request. Please try again.,服务器太忙，无法处理此请求。请重试
Server-side parsing is unavailable; parsing vCards locally.,服务器端解析不可用；正在本地解析 vCards
Server-side Python script that populates component data. Receives props as input. Use: data.events = frappe.get_list('Event'),用于填充组件数据的服务器端 Python 脚本。接收 props 作为输入。用法：data.events = frappe.get_list('Event')
Service,服务
Service Configuration Records,服务配置记录
Service Discovery Records,服务发现记录
Service Level Agreements (SLAs),服务级别协议 (SLAs)
service must be a string,服务必须为字符串
Service not supported,不支持的服务
Service records that enable automatic mail setup and enforce secure transport for your domain.,启用自动邮件设置并为您的域强制执行安全传输的服务记录
Service User,服务用户
Servicer Fee,服务商费用
Session,会话
Session Created,会话已创建
Session Default,会话默认值
Session Default Settings,会话默认设置
Session Defaults,会话默认值
Session Defaults Saved,会话默认值已保存
Session Expired,会话已过期
Session Expiry (idle timeout),会话过期时间（空闲超时）
Session Expiry must be in format {0},会话过期时间必须为 {0} 格式
Session Hash,会话哈希
Session is required.,会话为必填项。
Session Last Update,会话最后更新时间
Session refreshed successfully,会话刷新成功
Session State,会话状态
Session Token,会话令牌
Sessions,会话
Set a default value before publishing for: {0},为以下字段发布前设置默认值：{0}
Set a default value for each field to publish this form.,为每个字段设置默认值以发布此表单。
Set a default value for hidden required field(s): {0},为隐藏的必填字段设置默认值：{0}
Set a website on this record before enriching.,在丰富数据之前，请在此记录上设置网站。
Set a Website on this record before enriching.,在丰富数据之前，请在此记录上设置网站。
Set all private,全部设为私有
Set all public,全部设为公开
Set an embedding model in Flow Knowledge Settings before adding knowledge bases or sources.,在添加知识库或数据源之前，请在 Flow Knowledge Settings 中设置嵌入模型。
Set an embedding model in Flow Knowledge Settings first.,请先在 Flow Knowledge Settings 中设置嵌入模型。
Set as default,设为默认
Set as Default,设为默认
Set as default Participant Identity.,设为默认参与者身份。
Set as Default Theme,设为默认主题
Set Banner from Image,从图片设置横幅
Set by user,由用户设置
Set Chart,设置图表
Set Default,设置为默认
"Set Default Options for all charts on this Dashboard (Ex: ""colors"": [""#d1d8dd"", ""#ff5858""])","为此仪表板上的所有图表设置默认选项（例如：""colors"": [""#d1d8dd"", ""#ff5858""]）"
Set Default Signature,设置默认签名
Set dynamic filter values as Python expressions.,将动态筛选器值设置为 Python 表达式。
Set dynamic filter values in JavaScript for the required fields here.,在此处为所需字段设置 JavaScript 格式的动态筛选器值。
Set Dynamic Filters,设置动态筛选器
Set Filters,设置筛选器
Set Filters for {0},为 {0} 设置筛选器
Set Level,设置级别
Set Log Score,设置日志评分
Set Naming Series options on your transactions.,在您的交易中设置命名系列选项。
Set New Password,设置新密码
Set non-standard precision for a Float or Currency field,为 Float 或 Currency 字段设置非标准精度
"Set non-standard precision for a Float, Currency or Percent field",为 Float、Currency 或 Percent 字段设置非标准精度
Set Number of Backups,设置备份数量
Set once an admin completes the onboarding persona questionnaire,管理员完成入职角色问卷后设置
Set only once,仅设置一次
Set Password,设置密码
Set Permissions,设置权限
Set Property After Alert,警报后设置属性
Set Quantity,设置数量
Set Role For,设置角色
Set size in MB,设置大小（MB）
"Set the discount, validity, and the courses or batches this coupon applies to.",设置折扣、有效期以及此优惠券适用的课程或批次。
"Set the filters here. For example:\n<pre class=""small text-muted""><code>\n[{\n	fieldname: ""company"",\n	label: __(""Company""),\n	fieldtype: ""Link"",\n	options: ""Company"",\n	default: frappe.defaults.get_user_default(""Company""),\n	reqd: 1\n},\n{\n	fieldname: ""account"",\n	label: __(""Account""),\n	fieldtype: ""Link"",\n	options: ""Account"",\n	reqd: 1\n}]\n</code></pre>","在此处设置筛选器。例如：\n<pre class=""small text-muted""><code>\n[{\n	fieldname: ""company"",\n	label: __(""Company""),\n	fieldtype: ""Link"",\n	options: ""Company"",\n	default: frappe.defaults.get_user_default(""Company""),\n	reqd: 1\n},\n{\n	fieldname: ""account"",\n	label: __(""Account""),\n	fieldtype: ""Link"",\n	options: ""Account"",\n	reqd: 1\n}]\n</code></pre>"
"Set the path to a whitelisted function that will return the data for the number card in the format:\n\n<pre class=""small text-muted""><code>\n{\n	""value"": value,\n	""fieldtype"": ""Currency"",\n	""route_options"": {""from_date"": ""2023-05-23""},\n	""route"": [""query-report"", ""Permitted Documents For User""]\n}</code></pre>","设置指向已列入白名单的函数的路径，该函数将按以下格式返回数字卡片的数据：\n\n<pre class=""small text-muted""><code>\n{\n	""value"": value,\n	""fieldtype"": ""Currency"",\n	""route_options"": {""from_date"": ""2023-05-23""},\n	""route"": [""query-report"", ""Permitted Documents For User""]\n}</code></pre>"
Set Up Your Domain,设置您的域名
Set up your first course and lessons.,设置您的第一个课程和课程单元。
Set User Permissions,设置用户权限
Set Value,设置值
"Set working days, hours, and holidays by selecting a predefined schedule or creating a new one.",通过选择预定义计划或创建新计划来设置工作日、小时数和节假日。
"Set your team’s working days, hours, and holidays using a template or custom schedule.",使用模板或自定义计划设置团队的工作日、小时数和节假日。
Setting,设置
Setting this Address Template as default as there is no other default,由于没有其他默认值，将此地址模板设置为默认
Setting up Filebeat Stream...,正在设置 Filebeat 流...
Setting up Global Search documents.,正在设置全局搜索文档。
Setting up SSL...,正在设置 SSL...
Setting up your system,正在设置您的系统
Settings - ,设置 - 
Settings Dropdown,设置下拉菜单
Settings for Contact Us Page,联系我们页面设置
Settings for the About Us Page,关于我们页面设置
Settlement Date,结算日期
Setup > Customize Form,设置 > 自定义表单
Setup > User,设置 > 用户
Setup > User Permissions,设置 > 用户权限
Setup Auto Email,设置自动邮件
Setup failed,设置失败
Setup Series for transactions,为交易设置系列
Setup SSL,设置 SSL
Severity,严重程度
SFU secret not configured,未配置 SFU 密钥
Shadow Execution,影子执行
Shadow Maximum False Negative Rate,影子最大假阴性率
Shadow Maximum False Positive Rate,影子最大假阳性率
Shadow Minimum Events,影子最小事件数
Shadow Minimum Excluded Feedback,影子最小排除反馈
Shadow Minimum Feedback,影子最小反馈
Shadow Minimum Feedback Coverage Rate,影子最小反馈覆盖率
Shadow Minimum Passed Feedback,影子最小通过反馈
Shadow Mode,影子模式
Shadow Mode Default,影子模式默认
Shadow Observation End,影子观察结束
Shadow Observation Start,影子观察开始
Shadow Run,影子运行
Shapes,形状
share,分享
Share Link,分享链接
Share this document with,将此文档分享给
Share With,分享给
Share {0} with,将 {0} 分享给
Shareable Type,可分享类型
Shareable Type {0} added multiple times,可分享类型 {0} 重复添加
Shareables,可分享项
Shared Secret,共享密钥
Shared secret used to verify incoming webhook deliveries (TB6).,用于验证传入的 webhook 交付的共享密钥 (TB6)。
Shared with the following Users with Read access:{0},已以下用户共享，具有只读权限：{0}
Shared with {0} users,已分享给 {0} 个用户
Sharing Parameter,共享参数
Sheet,工作表
Sheet Cell,工作表单元格
Sheet Collab State,工作表协作状态
Sheet Name,工作表名称
Sheet Op Log,工作表操作日志
Sheet Seq,工作表序列
Sheet Snapshot,工作表快照
Sheets,工作表
Sheets AI Settings,工作表 AI 设置
Sheets Data,工作表数据
Sheets data (gzip envelope),工作表数据 (gzip 封装)
Shift and Attendance,班次与考勤
Shipping,发货
Shipping Address,发货地址
Shop,商店
short,短
Short description,简短描述
Short introduction,简短介绍
Short keyboard patterns are easy to guess,简短的键盘快捷键容易被猜测
Short label for this conversation. Auto-generated from the first user message if left blank.,此对话的简短标签。如果留空，则从第一条用户消息自动生成。
Shortfall Percentage,短缺百分比
Shortlist,短名单
Shortlisted,已列入短名单
Should a vacation response be sent if a message arrives between the From Date and To Date?,如果在“从日期”和“至日期”之间收到消息，是否应发送休假回复？
Should be a comma separated list,应为逗号分隔的列表
Should the calendar's events be displayed to the user at the moment?,是否应在当前时刻向用户显示日历事件？
"Show a colon after field labels (e.g. ""Name:""), matching the older print style.",在字段标签后显示冒号（例如“名称:”），以匹配旧版打印样式。
Show a feedback widget on every wiki page to collect ratings and comments,在每个 Wiki 页面上显示反馈小部件，以收集评分和评论
Show a feedback widget on wiki pages to collect user reactions,在 Wiki 页面上显示反馈小部件，以收集用户反馈
Show a preview pane beside the email list for quick reading.,在邮件列表旁边显示预览窗格，以便快速阅读。
Show Absolute Datetime in Timeline,在时间线中显示绝对日期时间
Show absolute datetime in timeline,在时间线中显示绝对日期时间
Show Absolute Values,显示绝对值
Show account deletion link in My Account page,在“我的账户”页面显示账户删除链接
Show All,显示全部
Show all activity,显示所有活动
Show all Versions,显示所有版本
Show an auto-generated table of contents on wiki pages,在 Wiki 页面上显示自动生成的目录
Show an inline editable table for serial numbers / batches on the item row instead of the dialog,在项目行上显示内联可编辑的序列号/批次表格，而不是对话框
Show App Password,显示应用密码
Show Arrow,显示箭头
Show as cc,显示为抄送
Show attachments,显示附件
Show Auth Server Metadata,显示认证服务器元数据
Show Calendar,显示日历
Show Colon After Field Labels,在字段标签后显示冒号
Show colon after labels,在标签后显示冒号
Show column when,当...时显示列
Show Connection Details in Mail UI,在邮件界面中显示连接详情
Show Currency Symbol on Right Side,在右侧显示货币符号
Show custom icon,显示自定义图标
Show Customer Portal Permission Notice,显示客户门户权限通知
Show dashboard,显示仪表板
Show Dashboard,显示仪表板
Show Description on Click,点击时显示描述
Show Document,显示文档
Show Error,显示错误
Show External Link Warning,显示外部链接警告
Show Fieldname (click to copy on clipboard),显示字段名（点击复制到剪贴板）
Show First Document Tour,显示第一个文档导览
Show footer on login,在登录页显示页脚
Show Form Tour,显示表单导览
Show Full Error and Allow Reporting of Issues to the Developer,显示完整错误并允许向开发者报告问题
Show full form instead of a quick entry modal,显示完整表单，而不是快速录入模态框
Show Full Form?,显示完整表单？
Show Full Number,显示完整数字
Show in filter,在筛选器中显示
Show in Gameplan,在 Gameplan 中显示
Show in Module Section,在模块部分中显示
Show in Resource Metadata,在资源元数据中显示
Show in switcher?,在切换器中显示？
Show Info,显示信息
Show label,显示标签
Show Labels,显示标签
Show Language Picker,显示语言选择器
Show Line Breaks after Sections,在部分后显示换行
Show link to document,显示文档链接
Show Links,显示链接
Show list,显示列表
Show more details,显示更多详情
Show navigation buttons,显示导航按钮
Show on Timeline,在时间线中显示
Show Only Failed Logs,仅显示失败的日志
Show percentage difference according to this time interval,根据此时间间隔显示百分比差异
Show Percentage Stats,显示百分比统计
Show Permissions,显示权限
Show Preview Popup,显示预览弹窗
Show Processlist,显示进程列表
Show Protected Resource Metadata,显示受保护资源元数据
Show Reading Pane,显示阅读窗格
Show Report,显示报表
Show row when,当...时显示行
Show search bar,显示搜索栏
Show Section Headings,显示章节标题
Show sidebar,显示侧边栏
Show Sidebar,显示侧边栏
Show Social Login Key as Authorization Server,将社交登录密钥显示为授权服务器
Show Tags,显示标签
"Show the SMTP/IMAP/POP connection details in the Mail UI so users can set up third-party mail clients. When unchecked, nothing is shown.",在邮件界面中显示 SMTP/IMAP/POP 连接详情，以便用户设置第三方邮件客户端。取消选中时，不显示任何内容。
Show timeline,显示时间线
Show Title,显示标题
"Show title in browser window as ""Prefix - title""",在浏览器窗口标题中显示为“前缀 - 标题”
Show Title in Link Fields,在链接字段中显示标题
Show Totals,显示总计
Show Tour,显示导览
Show Traceback,显示追踪信息
Show Values over Chart,在图表上显示数值
Show view switcher,显示视图切换器
Show Warnings,显示警告
Show Weekends,显示周末
Show with description,显示描述
Show with Undo,显示撤销
Show Without Time,不显示时间
Show {0} List,显示 {0} 列表
Showing only first {0} rows out of {1},仅显示 {1} 行中的前 {0} 行
Showing only Numeric fields from Report,仅显示报表中的数值字段
Shown after a successful submission,成功提交后显示
Shown to the agent: what this knowledge base contains and when to search it. Helps the agent decide whether to use it.,显示给智能体：此知识库包含什么内容以及何时搜索它。帮助智能体决定是否使用它。
Shown to the LLM. Should state what the tool does and how to interpret the return value.,显示给 LLM。应说明工具的功能以及如何解释返回值。
Sidebar and Comments,侧边栏和评论
Sidebar Badge Style,侧边栏徽章样式
Sidebar Item Group,侧边栏项目组
Sidebar Settings,侧边栏设置
Sides,侧面
Sieve,筛子
Sieve Script,Sieve 脚本
Sieve script content cannot be empty.,Sieve 脚本内容不能为空。
Sieve script created.,Sieve 脚本已创建。
Sieve Script Creation Error,Sieve 脚本创建错误
Sieve script deleted.,Sieve 脚本已删除。
Sieve Script Deletion Error,Sieve 脚本删除错误
Sieve Script Deletion Error(s):<br>{0},Sieve 脚本删除错误(s):<br>{0}
Sieve Script ID,Sieve 脚本 ID
Sieve script is valid.,Sieve 脚本有效。
Sieve Script Not Found,未找到 Sieve 脚本
Sieve Script Update Error,Sieve 脚本更新错误
Sieve script updated.,Sieve 脚本已更新。
Sieve Script Validation Error,Sieve 脚本验证错误
Sieve Script with ID {0} not found in account {1}.,在账户 {1} 中未找到 ID 为 {0} 的 Sieve 脚本。
Sieve Script with ID {0} not found.,未找到 ID 为 {0} 的 Sieve 脚本。
Sieve Scripts deleted successfully.,Sieve 脚本已成功删除。
Sieve scripts let you automatically filter and organize incoming emails.,Sieve 脚本可让您自动过滤和组织传入的电子邮件。
Sign in to your account,登录您的账户
Sign in using your existing mail account password.,使用您现有的邮件账户密码登录。
Sign Out,登出
Sign Up and Confirmation,注册与确认
Sign ups,注册
Signature Body,签名正文
Signature created.,签名已创建。
Signature Name,签名名称
Signature Type,签名类型
Signature updated.,签名已更新。
Signature Version,签名版本
Signatures,签名
Signatures let you automatically add personalized content to your emails.,签名可让您自动在电子邮件中添加个性化内容。
Signed At,签署时间
Signed Event,签署事件
Signed Headers,签署的标头
Signed Pull,签署的拉取
Signed Source Completeness Watermark,签署的源完整性水印
Signed Up,已注册
Signup,注册
Signup Disabled,注册已禁用
Signup Domains,注册域名
Signup is disabled.,注册已禁用。
Signups have been disabled for this website.,本网站已禁用注册。
"Simple Python Expression, Example: <code class=""language-python"">status == ""Invalid""</code>","简单 Python 表达式，示例：<code class=""language-python"">status == ""Invalid""</code>"
"Simple Python Expression, Example: <code class=""language-python"">status == 'Open' and issue_type == 'Bug'</code>","简单 Python 表达式，示例：<code class=""language-python"">status == 'Open' and issue_type == 'Bug'</code>"
"Simple Python Expression, Example: <code class=""language-python"">status in (""Closed"", ""Cancelled"")</code>","简单 Python 表达式，示例：<code class=""language-python"">status in (""Closed"", ""Cancelled"")</code>"
Simultaneous Sessions,同时会话
since last month,自上个月以来
since last week,自上周以来
since last year,自去年以来
since yesterday,自昨天以来
"Since you added a new assignee, the {0} has been set to {1}.",由于您添加了新的指派人，{0} 已设置为 {1}。
Single DocType {0} cannot be fetched in bulk.,无法批量获取单个 DocType {0}。
Single DocTypes cannot be customized.,单个 DocType 无法自定义。
Single Types have only one record no tables associated. Values are stored in tabSingles,单个类型仅有一条记录，无关联表。值存储在 tabSingles 中
Site,站点
Site Database,站点数据库
Site encryption key is not configured; cannot sign RSVP links.,站点加密密钥未配置；无法签署 RSVP 链接。
"Site is running in read only mode for maintenance or site update, this action can not be performed right now. Please try again later.",站点正处于只读模式进行维护或更新，当前无法执行此操作。请稍后重试。
"Sites where this form may be embedded, one per line. Browsers block the iframe on any site not listed here.",可嵌入此表单的站点，每行一个。浏览器会阻止在此列表未列出的任何站点上嵌入 iframe。
Size,大小
Size (bytes),大小 (字节)
Size (MB),大小 (MB)
Size exceeds the maximum allowed file size.,大小超过允许的最大文件大小。
Size in bytes.,以字节为单位的大小。
"Size of the write buffer in bytes, used to batch writes to the store.",写入缓冲区的字节大小，用于将写入操作批处理到存储中。
Sizes,大小
"Sizes, with icons (sm is the default)",大小，带图标（sm 为默认值）
Skill Score,技能得分
Skip All,跳过全部
Skip Authorization,跳过授权
Skip email workflow,跳过电子邮件工作流
Skip Patterns,跳过模式
"Skip periodic fetching of email changes (new, updated, or deleted).",跳过电子邮件更改（新增、更新或删除）的定期获取。
Skip Schedule Fetch Changes,跳过计划获取更改
Skip Step,跳过步骤
Skipped,已跳过
Skipping column {0},跳过列 {0}
Skipping Duplicate Column {0},跳过重复列 {0}
Skipping fixture syncing for doctype {0} from file {1},跳过 doctype {0} 的 fixture 同步，文件为 {1}
Skipping Untitled Column,跳过未命名列
"Skipping {0} of {1}, {2}",跳过 {0} 中的 {1}，{2}
SLA 秒数,SLA 秒数
SLA 策略,SLA 策略
Slack Channel,Slack 频道
Slack Webhook Error,Slack Webhook 错误
SLAs align your team and customers with defined timelines for a reliable experience. Learn more about SLA ,SLA 帮助您的团队和客户根据定义的时间表获得可靠的体验。了解有关 SLA 的更多信息
Slide,幻灯片
Slides,幻灯片
Slideshow,幻灯片放映
Slideshow Items,幻灯片放映项目
Slideshow like display for the website,网站的幻灯片式显示
Slideshow Name,幻灯片放映名称
Slots,时段
Slow,慢
SLSA/构建来源,SLSA/构建来源
Slug,别名
"Slug must be snake_case: start with a lowercase letter, then lowercase letters, digits or underscores.",Slug 必须为 snake_case：以小写字母开头，后跟小写字母、数字或下划线。
Small Text,短文本
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,最小流通分数单位（硬币）。例如，对于 USD 为 1 美分，应输入为 0.01
Smallest Currency Fraction Value,最小货币分数值
Smart,智能
SMS Gateway URL,SMS 网关 URL
SMS Log,SMS 日志
SMS OTP,短信 OTP
SMS Parameter,SMS 参数
SMS sent successfully,SMS 发送成功
SMS Settings,SMS 设置
SMS was not sent. Please contact Administrator.,SMS 未发送。请联系管理员。
SMTP Command,SMTP 命令
SMTP Server is required,需要 SMTP 服务器
Snake-cased name the LLM sees. Used as the unique identifier.,LLM 看到的蛇形命名。用作唯一标识符。
Snapshot Capture Marker,快照捕获标记
Snapshot Data,快照数据
Snapshot does not belong to this page,快照不属于此页面
Snapshot Hash,快照哈希
Snapshot JSON,快照 JSON
Snapshot Key,快照键
Snapshot Start Cursor,快照起始游标
Snapshot Type,快照类型
Snippet and more variables:  {0},代码片段及更多变量： {0}
Snippet name,代码片段名称
Snippet Type,代码片段类型
Social,社交
Social Link Settings,社交链接设置
Social Link Type,社交链接类型
Social Login Key,社交登录密钥
Social Login Provider,社交登录提供商
Social Logins,社交登录
Social media,社交媒体
Social Preview,社交预览
Social Profiles,社交资料
SocketIO Ping Check,SocketIO 心跳检测
SocketIO Transport Mode,SocketIO 传输模式
Soft Limit,软限制
Soft-delete flag. Trashed sheets are hidden from the app and purged after the retention window.,软删除标志。已删除的工作表将从应用中隐藏，并在保留期结束后被清除。
Software ID,软件 ID
Software Version,软件版本
Solid,实心
Solver Certificate,求解器证书
Some information is missing,缺少某些信息
"Some mailboxes require a different Sent Folder Name e.g. ""INBOX.Sent""","某些邮箱需要不同的已发送邮件文件夹名称，例如 ""INBOX.Sent"""
Some of the features might not work in your browser. Please update your browser to the latest version.,您的浏览器可能无法使用某些功能。请将浏览器更新到最新版本。
Some settings tabs may not load. Please refresh the page.,某些设置选项卡可能无法加载。请刷新页面。
Something Went Wrong,发生错误
Something went wrong during the token generation. Click on {0} to generate a new one.,生成令牌时出错。点击 {0} 以生成新的令牌。
Something went wrong.,发生错误。
Sorry! I could not find what you were looking for.,抱歉！未找到您搜索的内容。
Sorry! You are not permitted to view this page.,抱歉！您无权查看此页面。
Sort by,排序方式
Sort By,排序方式
Sort Field,排序字段
Sort field {0} must be a valid fieldname,排序字段 {0} 必须是有效的字段名
Sort Options,排序选项
Source Acknowledged At,源确认时间
Source Acknowledgement ID,源确认 ID
Source Asserted At,源断言时间
Source Code,源代码
Source Complete Through,源完成通过
Source Completeness Hash,源完整性哈希
Source Completeness Watermark,源完整性水印
Source Count,源计数
Source Display,源显示
Source Document Unavailable,源文档不可用
Source Encounter ID,源遭遇 ID
Source Epoch,源纪元
Source Event Time,源事件时间
Source File,源文件
Source File Hash,源文件哈希
Source File Snapshot,源文件快照
Source Finalized At,源最终确定时间
Source Group Count,源组计数
Source Hash,源哈希
Source Host,源主机
Source Index,源索引
Source IP Address,源 IP 地址
Source Key,源键
Source Manifest Count,源清单计数
Source Manifest Hash,源清单哈希
Source Mapping,源映射
Source Modified,源修改
Source Namespace,源命名空间
Source Path,源路径
Source Patient ID,源患者 ID
Source Record Count,源记录计数
Source Record Hash,源记录哈希
Source Record ID,源记录 ID
Source Record ID Hash,源记录 ID 哈希
Source Record Type,源记录类型
Source Reference,源引用
Source Reference Hash,源引用哈希
Source References,源引用
Source Revision Count,源修订计数
Source Revision Manifest Hash,源修订清单哈希
Source Run,源运行
Source Sequence,源序列
Source Snapshot,源快照
Source Snapshot Hash,源快照哈希
Source System,源系统
Source System Snapshot,源系统快照
Source Text,源文本
Source Type Snapshot,源类型快照
Source URL,源 URL
Source URL Snapshot,源 URL 快照
Source Version,源版本
Source Watermark ID,源水印 ID
Source Website,源网站
Source 库存业务区域,源库存业务区域
Source-document locator approved.,源文档定位器已批准。
Source-document locator updated.,源文档定位器已更新。
Space,空格
Space Name,空间名称
Spaces,空间
Spaces a push enqueued a sync for (empty for ignored or non-matching deliveries).,Spaces 推送排队的同步任务（对于被忽略或不匹配投递的情况为空）。
Spam,垃圾邮件
Spam Check Log,垃圾邮件检查日志
Spam Detection Failed,垃圾邮件检测失败
Spam Score,垃圾邮件评分
Spam score not found in output.,输出中未找到垃圾邮件评分。
SpamAssassin did not return the expected response. This may indicate a permission issue or an unauthorized connection. Please check the following: {0},SpamAssassin 未返回预期响应。这可能表明存在权限问题或未经授权的连接。请检查以下内容：{0}
Spawns actions in a background job,在后台作业中生成操作
Special Case Draft,特殊情况草稿
Special Characters are not allowed,不允许使用特殊字符
Special Recurrence,特殊循环
Special Topic,特殊主题
Specialty Certification,专业认证
Specifies how the alert is delivered to the user.,指定警报如何传递给用户。
Specifies the event reference point used for offset-based alerts.,指定用于基于偏移量的警报的事件参考点。
"Specify a custom timeout, default timeout is 1500 seconds",指定自定义超时时间，默认超时时间为 1500 秒
"Specify the domains or origins that are permitted to embed this form. Enter one domain per line (e.g., https://example.com). If no domains are specified, the form can only be embedded on the same origin.",指定允许嵌入此表单的域或来源。每行输入一个域（例如，https://example.com）。如果未指定域，则表单只能嵌入在同一来源上。
SPF Description,SPF 描述
Splash Image,启动画面图片
"SQL Conditions. Example: {""status"" : ""open"", ""priority"" : ""medium""}","SQL 条件。示例：{""status"" : ""open"", ""priority"" : ""medium""}"
SQL Explain,SQL 解释
SQL functions are not allowed as strings in SELECT: {0}. Use dict syntax like {{'COUNT': '*'}} instead.,SELECT 中不允许将 SQL 函数作为字符串使用：{0}。请使用字典语法，例如 {{'COUNT': '*'}}。
SQL Output,SQL 输出
SQL Queries,SQL 查询
Sr,高级
Sr No.,序号
SSH connection failed. Error: {0},SSH 连接失败。错误：{0}
SSH connection successful.,SSH 连接成功。
SSH Key,SSH 密钥
SSH Port,SSH 端口
SSH User,SSH 用户
SSL setup job has been created.,SSL 设置任务已创建。
SSL/TLS Mode,SSL/TLS 模式
SSRF Guard,SSRF 防护
Stable key used to identify the latest version of each logical row during incremental upserts.,在增量插入或更新期间用于标识每个逻辑行最新版本的稳定键。
Stable Reason Code,稳定原因代码
Stable Source Key,稳定源键
Stack Trace,堆栈跟踪
Staff Code,员工代码
Staff Name,员工姓名
Staff Portal,员工门户
Staff Qualification,员工资格
Staff Type,员工类型
Staged {0} of {1} contact(s).,已暂存 {0} 个联系人，共 {1} 个。
Staged {0} of {1} email(s).,已暂存 {0} 封电子邮件，共 {1} 封。
Staged {0} of {1} event(s).,已暂存 {0} 个事件，共 {1} 个。
Staging,暂存
Stale,陈旧
Stalwart CLI Command Timeout,Stalwart CLI 命令超时
Stalwart CLI not found at {0}.,在 {0} 处未找到 Stalwart CLI。
Stalwart CLI Version,Stalwart CLI 版本
Stalwart group ids (one per line) the account is added to on creation.,创建账户时将其添加到的 Stalwart 组 ID（每行一个）。
Stalwart mailing list ids (one per line) the account's primary address is added to as a recipient on creation.,创建账户时将其主地址作为收件人添加到的 Stalwart 邮件列表 ID（每行一个）。
Stalwart role (by description) applied to a user's mail account when the user is disabled. The role must be created manually on Stalwart with the appropriate allowed/disabled permissions. Leave blank to skip applying a role on disable.,当用户被禁用时，应用于用户邮件账户的 Stalwart 角色（按描述）。该角色必须在 Stalwart 上手动创建，并设置适当的允许/禁用权限。留空表示禁用时不应用角色。
Stalwart roles (one per line) assigned to the account on creation; defaults are chosen by the admin flag.,创建时分配给账户的 Stalwart 角色（每行一个）；默认值由管理员标志选择。
